Id,SquareFootage,TotalRooms
1461,2674,3
1462,3987,5
1463,4186,6
1464,4134,6
1465,3840,4
1466,4073,6
1467,3542,5
1468,3719,6
1469,3982,4
1470,2646,3
1471,4079,4
1472,2457,4
1473,2709,5
1474,3767,6
1475,2508,3
1476,6258,6
1477,4632,5
1478,5094,5
1479,5466,5
1480,8238,6
1481,6171,6
1482,4110,4
1483,3972,5
1484,3435,4
1485,3132,6
1486,4313,6
1487,6579,7
1488,4785,4
1489,3654,4
1490,4404,4
1491,4149,6
1492,2840,3
1493,4196,5
1494,5929,7
1495,5840,7
1496,4464,4
1497,4200,5
1498,3000,5
1499,3000,5
1500,3072,5
1501,3780,5
1502,2690,5
1503,4478,3
1504,4671,6
1505,4476,5
1506,5487,6
1507,6270,7
1508,5006,6
1509,4005,7
1510,3696,5
1511,3627,4
1512,4530,5
1513,4083,5
1514,5184,8
1515,6062,5
1516,3894,5
1517,3336,3
1518,4812,6
1519,4440,5
1520,3429,4
1521,3618,4
1522,4404,5
1523,3506,4
1524,2992,3
1525,2916,4
1526,2964,3
1527,2546,3
1528,3264,4
1529,3525,5
1530,4185,3
1531,4397,4
1532,2808,3
1533,4041,4
1534,3329,4
1535,4293,4
1536,3498,4
1537,2342,3
1538,4062,5
1539,4882,6
1540,5352,6
1541,3678,4
1542,4212,5
1543,5244,5
1544,2295,3
1545,2872,3
1546,2964,5
1547,3741,5
1548,3612,5
1549,2608,3
1550,4000,6
1551,3260,3
1552,4812,6
1553,3900,5
1554,3310,4
1555,4772,5
1556,3137,5
1557,3996,4
1558,2438,4
1559,4475,6
1560,4216,4
1561,5496,6
1562,2648,4
1563,2592,3
1564,4065,4
1565,3600,6
1566,4386,3
1567,2172,3
1568,5079,7
1569,4192,6
1570,2811,4
1571,3456,4
1572,3516,4
1573,4524,2
1574,3846,5
1575,4299,3
1576,4550,6
1577,3666,4
1578,3566,5
1579,2800,3
1580,4262,6
1581,3078,5
1582,2628,4
1583,5934,6
1584,5236,7
1585,2544,2
1586,1280,3
1587,2365,4
1588,3588,4
1589,2984,3
1590,3200,4
1591,2880,4
1592,3699,4
1593,2568,3
1594,5300,9
1595,4226,4
1596,5794,6
1597,5386,8
1598,3727,6
1599,3050,2
1600,3573,4
1601,1560,2
1602,2843,3
1603,2660,4
1604,4886,4
1605,4881,6
1606,3813,5
1607,6054,8
1608,4028,5
1609,3642,4
1610,3272,6
1611,3596,3
1612,4290,5
1613,4032,5
1614,2835,3
1615,2730,5
1616,2730,5
1617,2730,5
1618,2612,4
1619,2499,3
1620,6080,10
1621,3172,5
1622,3822,7
1623,5285,6
1624,4746,6
1625,2646,3
1626,4302,6
1627,4161,6
1628,5574,7
1629,3640,6
1630,7252,3
1631,4374,4
1632,5055,4
1633,3148,6
1634,4224,6
1635,3739,6
1636,3561,5
1637,4990,6
1638,4932,7
1639,4769,5
1640,6389,7
1641,4554,5
1642,4694,6
1643,4806,6
1644,4594,6
1645,4863,5
1646,3348,5
1647,3562,5
1648,3540,4
1649,3143,5
1650,2592,4
1651,2592,4
1652,2457,4
1653,2457,4
1654,3900,6
1655,3167,4
1656,3767,6
1657,3900,6
1658,3767,6
1659,2508,3
1660,3104,4
1661,7320,8
1662,6745,6
1663,6060,5
1664,7978,5
1665,5208,5
1666,5346,5
1667,6548,8
1668,5225,5
1669,4566,4
1670,5390,5
1671,5280,5
1672,7356,5
1673,5882,8
1674,4810,5
1675,4074,4
1676,3918,3
1677,4066,4
1678,7476,5
1679,6600,6
1680,5652,4
1681,4363,4
1682,5136,5
1683,4215,4
1684,3640,6
1685,3725,6
1686,3660,4
1687,3132,6
1688,4128,6
1689,4034,6
1690,3760,6
1691,3382,6
1692,4878,7
1693,3132,6
1694,3822,6
1695,3244,6
1696,5801,7
1697,3244,6
1698,6829,7
1699,6150,5
1700,5192,6
1701,5637,6
1702,5088,5
1703,4930,6
1704,5106,5
1705,4286,5
1706,7438,4
1707,4308,5
1708,4206,5
1709,4590,5
1710,4268,4
1711,4490,6
1712,5508,5
1713,4976,5
1714,4659,5
1715,4118,6
1716,3654,5
1717,3423,5
1718,3474,5
1719,4459,6
1720,4536,5
1721,3342,5
1722,3342,5
1723,3342,5
1724,4350,4
1725,5157,7
1726,4276,6
1727,3996,4
1728,3834,6
1729,3476,6
1730,3764,6
1731,2940,4
1732,2592,4
1733,2592,3
1734,3064,5
1735,2736,4
1736,2736,4
1737,6042,4
1738,4485,6
1739,7386,6
1740,5178,5
1741,3657,3
1742,3780,5
1743,3595,6
1744,5082,4
1745,5220,4
1746,5390,7
1747,4886,6
1748,6212,8
1749,3960,5
1750,3648,4
1751,5484,7
1752,2592,3
1753,4704,5
1754,5287,7
1755,3872,5
1756,2682,3
1757,2592,4
1758,3764,4
1759,4504,5
1760,3939,5
1761,3876,5
1762,5024,7
1763,4360,5
1764,2880,3
1765,5062,3
1766,4359,5
1767,4696,4
1768,3457,4
1769,3987,5
1770,2964,5
1771,3606,4
1772,4146,4
1773,3600,4
1774,5598,6
1775,3186,4
1776,2855,3
1777,2379,3
1778,3093,3
1779,2420,4
1780,3753,5
1781,3600,4
1782,2376,3
1783,3380,6
1784,2483,3
1785,3210,4
1786,5003,5
1787,3940,6
1788,1614,3
1789,2412,3
1790,2080,3
1791,6336,10
1792,4140,5
1793,3120,4
1794,2853,3
1795,3315,4
1796,2444,3
1797,3061,4
1798,3123,4
1799,2196,3
1800,2894,4
1801,3754,6
1802,3423,4
1803,4392,6
1804,2823,3
1805,3135,4
1806,3657,4
1807,4860,6
1808,2852,5
1809,3432,5
1810,3806,5
1811,4002,6
1812,3695,4
1813,3424,5
1814,2583,3
1815,1224,2
1816,2208,3
1817,3697,5
1818,4931,5
1819,3200,4
1820,2256,3
1821,3496,4
1822,3783,5
1823,1839,3
1824,3886,4
1825,3605,5
1826,2752,4
1827,2950,3
1828,4116,5
1829,3216,3
1830,4584,5
1831,4560,5
1832,5296,6
1833,4580,6
1834,3337,4
1835,4748,9
1836,4536,4
1837,2642,2
1838,3504,5
1839,1968,3
1840,3600,6
1841,3456,4
1842,2809,6
1843,3156,5
1844,2524,4
1845,3841,6
1846,3414,4
1847,4967,6
1848,1320,3
1849,2766,3
1850,3219,3
1851,4025,5
1852,3267,4
1853,3147,4
1854,3176,3
1855,3196,4
1856,4837,6
1857,4032,5
1858,4456,8
1859,3070,6
1860,3552,4
1861,3026,6
1862,6742,12
1863,6742,12
1864,6742,12
1865,4915,3
1866,5160,5
1867,4404,5
1868,5514,5
1869,3862,4
1870,3762,4
1871,4494,5
1872,3548,6
1873,4967,6
1874,2970,4
1875,4389,5
1876,4472,6
1877,4319,5
1878,4476,5
1879,2721,4
1880,2742,3
1881,4791,5
1882,5436,7
1883,4290,6
1884,4684,6
1885,4488,4
1886,5478,5
1887,4251,5
1888,4782,5
1889,3400,6
1890,3312,4
1891,2691,3
1892,2628,4
1893,3814,4
1894,5034,8
1895,4270,3
1896,3316,4
1897,3368,5
1898,3067,5
1899,3280,4
1900,3056,4
1901,3974,4
1902,3819,3
1903,5880,8
1904,3336,3
1905,4683,5
1906,4113,5
1907,5122,5
1908,2580,3
1909,3019,4
1910,3019,4
1911,4536,6
1912,6533,5
1913,4784,7
1914,1716,3
1915,4892,4
1916,1620,2
1917,5211,6
1918,2754,3
1919,3531,4
1920,4772,4
1921,6262,5
1922,4923,5
1923,5186,6
1924,4603,6
1925,4940,6
1926,5934,4
1927,3024,4
1928,3996,5
1929,2388,3
1930,2566,3
1931,2594,3
1932,3198,5
1933,4048,6
1934,4134,6
1935,3620,6
1936,4134,6
1937,4188,6
1938,4116,5
1939,5028,3
1940,3840,4
1941,4198,6
1942,4254,6
1943,4011,4
1944,6168,9
1945,5652,4
1946,4580,4
1947,5130,4
1948,4464,6
1949,5051,4
1950,3780,5
1951,6176,5
1952,5346,5
1953,3633,5
1954,4826,6
1955,3336,5
1956,7100,7
1957,4332,4
1958,5916,7
1959,4480,8
1960,2808,3
1961,2592,4
1962,2457,4
1963,2457,4
1964,3234,6
1965,3767,7
1966,3165,4
1967,4746,5
1968,7346,7
1969,5850,4
1970,7346,7
1971,7200,7
1972,6076,6
1973,5124,7
1974,5812,7
1975,7475,3
1976,4753,4
1977,6777,7
1978,7145,7
1979,5590,4
1980,4101,4
1981,5400,4
1982,4026,4
1983,4026,4
1984,4016,5
1985,4325,4
1986,4545,4
1987,3638,4
1988,3819,6
1989,4280,6
1990,4819,7
1991,4066,4
1992,4766,6
1993,3535,6
1994,5681,7
1995,4133,6
1996,5571,6
1997,5863,7
1998,5994,4
1999,5314,7
2000,6244,7
2001,5474,7
2002,4734,5
2003,5063,6
2004,4703,6
2005,4380,5
2006,4107,5
2007,4980,5
2008,3654,4
2009,4227,6
2010,4161,6
2011,3525,4
2012,3486,5
2013,3972,6
2014,4246,6
2015,4146,6
2016,4181,6
2017,4310,6
2018,2952,4
2019,2592,4
2020,2670,4
2021,2592,4
2022,4290,5
2023,4283,6
2024,6296,7
2025,7420,7
2026,3725,3
2027,3000,5
2028,3473,4
2029,3842,6
2030,4890,4
2031,3930,3
2032,4257,4
2033,4671,4
2034,3480,6
2035,4436,6
2036,4132,6
2037,4174,6
2038,5756,5
2039,3708,3
2040,6882,7
2041,4768,6
2042,4576,6
2043,4281,6
2044,5220,6
2045,4860,6
2046,4875,6
2047,3660,6
2048,2762,4
2049,5184,8
2050,4165,6
2051,2028,3
2052,3342,4
2053,3354,4
2054,2160,3
2055,4288,5
2056,3246,4
2057,3108,4
2058,5080,7
2059,3528,4
2060,4128,4
2061,4535,4
2062,3312,4
2063,2484,3
2064,3456,5
2065,2884,3
2066,4578,5
2067,3528,7
2068,5472,7
2069,1738,2
2070,3065,4
2071,2016,3
2072,3764,4
2073,3000,5
2074,3936,5
2075,3243,4
2076,2628,3
2077,3768,5
2078,3081,4
2079,3408,5
2080,2904,3
2081,3410,5
2082,5400,8
2083,3944,5
2084,2475,3
2085,3351,4
2086,2458,4
2087,3426,4
2088,3400,3
2089,2016,3
2090,3640,6
2091,3908,5
2092,4113,4
2093,4416,3
2094,2985,3
2095,3756,5
2096,2279,3
2097,2844,4
2098,3902,4
2099,1221,2
2100,3624,7
2101,4051,6
2102,3524,4
2103,2380,3
2104,5673,6
2105,3652,5
2106,2895,3
2107,6303,7
2108,2952,3
2109,3055,3
2110,3294,3
2111,4008,5
2112,4500,5
2113,3092,4
2114,3134,5
2115,4325,5
2116,2847,3
2117,3819,5
2118,3423,4
2119,3018,4
2120,2997,4
2122,2976,3
2123,1616,2
2124,5007,6
2125,4904,6
2126,4242,6
2127,5210,7
2128,4014,4
2129,2304,2
2130,3840,6
2131,4513,6
2132,3496,4
2133,3120,3
2134,3240,5
2135,1969,2
2136,3224,5
2137,3154,4
2138,3131,4
2139,3200,4
2140,2976,4
2141,2518,4
2142,3219,4
2143,3312,3
2144,3580,4
2145,2880,4
2146,3364,2
2147,4430,5
2148,3276,4
2149,2672,4
2150,4572,5
2151,2728,3
2152,4616,3
2153,4527,4
2154,2592,3
2155,3159,5
2156,6705,7
2157,4854,6
2158,5212,7
2159,4746,6
2160,3340,6
2161,4845,5
2162,6823,5
2163,5283,6
2164,4423,5
2165,4468,4
2166,2970,4
2167,4254,5
2168,4406,6
2169,4086,6
2170,4574,6
2171,3212,4
2172,3228,5
2173,3980,4
2174,5579,6
2175,5251,6
2176,5350,5
2177,5783,7
2178,4378,6
2179,2544,2
2180,5514,4
2181,4335,5
2182,4692,5
2183,4073,5
2184,3276,4
2185,2522,4
2186,3381,5
2187,3263,4
2188,3480,5
2189,7640,9
2190,2304,4
2191,2304,4
2192,2352,3
2193,2691,4
2194,2274,6
2195,2771,3
2196,2824,4
2197,3533,5
2198,4076,4
2199,4800,8
2200,3276,3
2201,3204,4
2202,3822,5
2203,3990,5
2204,4818,6
2205,3632,4
2206,3273,3
2207,4354,6
2208,5154,6
2209,5694,6
2210,2580,3
2211,2732,3
2212,2900,4
2213,3180,5
2214,3936,5
2215,2344,3
2216,5061,6
2217,1466,3
2218,2895,3
2219,2454,3
2220,2320,5
2221,4892,4
2222,4886,4
2223,5904,6
2224,4550,6
2225,3744,8
2226,5058,5
2227,4279,4
2228,4592,5
2229,4480,6
2230,3236,6
2231,4020,6
2232,4485,5
2233,3768,5
2234,4312,5
2235,5016,5
2236,5340,5
2237,5892,6
2238,4032,4
2239,3276,3
2240,3567,4
2241,3600,4
2242,3120,4
2243,3500,6
2244,2502,3
2245,2438,2
2246,3433,4
2247,2730,6
2248,2448,3
2249,2535,4
2250,2642,4
2251,4358,6
2252,4761,5
2253,3152,6
2254,3780,6
2255,4351,6
2256,3797,6
2257,5536,9
2258,3542,5
2259,4187,6
2260,3558,4
2261,3524,4
2262,3954,2
2263,6231,8
2264,7336,7
2265,3948,5
2266,4836,4
2267,6688,3
2268,5826,5
2269,3852,5
2270,3683,6
2271,4857,5
2272,4640,7
2273,3507,5
2274,3965,4
2275,4065,4
2276,3876,5
2277,4838,7
2278,3769,4
2279,2742,4
2280,2742,3
2281,4011,4
2282,4079,4
2283,2709,5
2284,3108,6
2285,3171,4
2286,2964,4
2287,5422,5
2288,5082,5
2289,6352,5
2290,7246,6
2291,6208,7
2292,6086,5
2293,7656,5
2294,7220,7
2295,6900,5
2296,5886,6
2297,5118,6
2298,5406,6
2299,7618,8
2300,6087,6
2301,4531,6
2302,4842,5
2303,5163,5
2304,4954,6
2305,3906,3
2306,3906,3
2307,4086,4
2308,4662,4
2309,4731,4
2310,3972,4
2311,4215,4
2312,3760,6
2313,3840,6
2314,3524,5
2315,3728,6
2316,4190,6
2317,3978,5
2318,3760,6
2319,3640,6
2320,3762,5
2321,4584,4
2322,3798,4
2323,3073,4
2324,3132,6
2325,4560,6
2326,3172,6
2327,4743,7
2328,4844,7
2329,4295,6
2330,4229,6
2331,6881,7
2332,7564,7
2333,6553,7
2334,5836,7
2335,5509,7
2336,6401,7
2337,4107,5
2338,4626,5
2339,4592,5
2340,5898,3
2341,4584,8
2342,4614,5
2343,4506,5
2344,4936,6
2345,4962,6
2346,4014,5
2347,4005,5
2348,4480,6
2349,3901,6
2350,4715,6
2351,4742,4
2352,5055,4
2353,6044,7
2354,3300,5
2355,3429,5
2356,3282,4
2357,4433,5
2358,4504,6
2359,3162,4
2360,2682,3
2361,3120,5
2362,6229,6
2363,3111,3
2364,3154,3
2365,4134,4
2366,3443,4
2367,4641,4
2368,4056,4
2369,4650,5
2370,3746,6
2371,3902,6
2372,4055,5
2373,5150,6
2374,5944,6
2375,4482,3
2376,6726,6
2377,7455,4
2378,3216,5
2379,5830,7
2380,3137,4
2381,3885,5
2382,4344,5
2383,4782,4
2384,5298,6
2385,3279,5
2386,3156,4
2387,3163,4
2388,2448,4
2389,3042,3
2390,3238,3
2391,2892,4
2392,2682,4
2393,3574,5
2394,3126,5
2395,5153,8
2396,3878,4
2397,4896,5
2398,2638,3
2399,1998,3
2400,1710,3
2401,2424,3
2402,3378,3
2403,4680,6
2404,3353,5
2405,3726,4
2406,2808,3
2407,3024,4
2408,3159,4
2409,3432,4
2410,4773,5
2411,2766,3
2412,4026,4
2413,3648,4
2414,3172,5
2415,4680,6
2416,2844,3
2417,3120,4
2418,2775,4
2419,4270,5
2420,2773,4
2421,4399,4
2422,2772,3
2423,4013,5
2424,4160,4
2425,6838,8
2426,3713,3
2427,3804,5
2428,4027,6
2429,2696,4
2430,2856,4
2431,3340,5
2432,3120,4
2433,3510,4
2434,3726,5
2435,4131,4
2436,1850,4
2437,2592,3
2438,2768,4
2439,2770,3
2440,3437,4
2441,3066,3
2442,2901,3
2443,2952,3
2444,3028,3
2445,2852,4
2446,4671,7
2447,4269,6
2448,4012,6
2449,3080,4
2450,4226,5
2451,3403,5
2452,5727,5
2453,1936,3
2454,2764,3
2455,2876,2
2456,3780,4
2457,3276,5
2458,3064,5
2459,2652,3
2460,3679,5
2461,3316,5
2462,3818,4
2463,3318,3
2464,5628,7
2465,3520,4
2466,3382,5
2467,3360,5
2468,2938,5
2469,3397,3
2470,5329,8
2471,4880,6
2472,5498,5
2473,3438,5
2474,3625,5
2475,5539,5
2476,3236,3
2477,2923,4
2478,4324,3
2479,3015,4
2480,3020,5
2481,3120,4
2482,2504,3
2483,2670,4
2484,2829,3
2485,2736,4
2486,3990,4
2487,5979,7
2488,3284,4
2489,3565,4
2490,3510,4
2491,1996,4
2492,4234,5
2493,3059,5
2494,4333,5
2495,2968,3
2496,6132,7
2497,4240,5
2498,2592,4
2499,1886,4
2500,3114,4
2501,4026,5
2502,4040,5
2503,3675,6
2504,4749,6
2505,4695,6
2506,4945,5
2507,6420,6
2508,4945,5
2509,4638,5
2510,4489,5
2511,3810,4
2512,4469,6
2513,4675,6
2514,4452,1
2515,3066,4
2516,3251,6
2517,2970,4
2518,3291,5
2519,4734,6
2520,4359,6
2521,4225,6
2522,4669,6
2523,2652,4
2524,3065,5
2525,3013,5
2526,3120,5
2527,2690,4
2528,2622,4
2529,2592,4
2530,2135,4
2531,5019,5
2532,4843,6
2533,4318,6
2534,4740,5
2535,6409,7
2536,4844,6
2537,4023,3
2538,3690,6
2539,3549,4
2540,3990,5
2541,3720,6
2542,3840,6
2543,2808,3
2544,3264,3
2545,3603,4
2546,3537,3
2547,3048,4
2548,4466,8
2549,3550,6
2551,2691,3
2552,2880,3
2553,2304,4
2554,3585,6
2555,2390,3
2556,2304,3
2557,2592,4
2558,6480,8
2559,4134,4
2560,3247,4
2561,2727,3
2562,3457,4
2563,3608,4
2564,4287,7
2565,2452,4
2566,4440,6
2567,3438,5
2568,4680,5
2569,4464,5
2570,2606,3
2571,5040,6
2572,3044,2
2573,5088,5
2574,5731,5
2575,3150,4
2576,4138,5
2577,4515,5
2578,2448,3
2579,1485,2
2580,4939,6
2581,3219,4
2582,2839,3
2583,4823,4
2584,3599,4
2585,4225,5
2586,4227,3
2587,4410,5
2588,2688,4
2589,3022,3
2590,4503,4
2591,5143,7
2592,5067,5
2593,4674,4
2594,3745,5
2595,3891,4
2596,5766,4
2597,4473,5
2598,6094,9
2599,5472,5
2600,4068,3
2601,2792,1
2602,2730,5
2603,2514,3
2604,2730,5
2605,2730,5
2606,2939,2
2607,3956,5
2608,4512,5
2609,3580,5
2610,2388,3
2611,4612,4
2612,3446,5
2613,2448,3
2614,2638,4
2615,3764,4
2616,3056,3
2617,5211,5
2618,4485,3
2619,5553,5
2620,3863,6
2621,4123,6
2622,4373,6
2623,5202,7
2624,6124,6
2625,7436,7
2626,3498,5
2627,3599,4
2628,6994,7
2629,8308,9
2630,6040,7
2631,7246,7
2632,6980,8
2633,5142,4
2634,5910,6
2635,3192,3
2636,4659,7
2637,3213,3
2638,5596,6
2639,4425,6
2640,3309,5
2641,2612,4
2642,4325,4
2643,2709,5
2644,3495,5
2645,2554,5
2646,2379,4
2647,2709,5
2648,3207,4
2649,3717,4
2650,3165,4
2651,3767,6
2652,6916,7
2653,4854,4
2654,5201,6
2655,5604,4
2656,5502,7
2657,5788,6
2658,5715,6
2659,5832,7
2660,6240,7
2661,5376,4
2662,5340,4
2663,5248,6
2664,4690,4
2665,5058,3
2666,4998,4
2667,3640,6
2668,3722,6
2669,3978,5
2670,5798,7
2671,3722,6
2672,3948,4
2673,4390,4
2674,4461,4
2675,3426,4
2676,4044,6
2677,4760,6
2678,5679,8
2679,4996,6
2680,5628,6
2681,7250,7
2682,6794,7
2683,8733,8
2684,6278,7
2685,6884,6
2686,5028,6
2687,5010,5
2688,4512,5
2689,3834,4
2690,7316,7
2691,4290,6
2692,3426,5
2693,4200,5
2694,3393,5
2695,4263,6
2696,3954,6
2697,4615,6
2698,4298,6
2699,4194,4
2700,3651,4
2701,3276,6
2702,2964,4
2703,3308,6
2704,3286,3
2705,2952,4
2706,2700,4
2707,2775,3
2708,3072,5
2709,2736,4
2710,2794,4
2711,7040,5
2712,6986,6
2713,3429,3
2714,2966,5
2715,3804,5
2716,2690,5
2717,3957,6
2718,4704,5
2719,3539,4
2720,4002,5
2721,3153,4
2722,4440,6
2723,2928,3
2724,2629,4
2725,3153,4
2726,3423,4
2727,4317,5
2728,3984,5
2729,3600,6
2730,3744,4
2731,2448,3
2732,3024,3
2733,4117,4
2734,4692,3
2735,3488,4
2736,4160,5
2737,2808,3
2738,4752,6
2739,3738,4
2740,3024,3
2741,3907,5
2742,3793,5
2743,3798,4
2744,3372,4
2745,3150,4
2746,3024,3
2747,3366,4
2748,2591,4
2749,3015,3
2750,3168,5
2751,2652,3
2752,5007,5
2753,3783,3
2754,7451,8
2755,3408,5
2756,2139,3
2757,2145,3
2758,1888,2
2759,3853,5
2760,4597,6
2761,3375,4
2762,3549,5
2763,4859,5
2764,2944,4
2765,6334,6
2766,3952,5
2767,2080,4
2768,4668,6
2769,3450,4
2770,3135,4
2771,2592,4
2772,3075,4
2773,4744,7
2774,4548,4
2775,4461,5
2776,3612,4
2777,3568,5
2778,2510,3
2779,4840,6
2780,3096,3
2781,2532,3
2782,2304,3
2783,3490,3
2784,2880,4
2785,3948,7
2786,1476,2
2787,3134,5
2788,2478,3
2789,5434,7
2790,3120,4
2791,2880,4
2792,3060,3
2793,4502,3
2794,3052,4
2795,3389,4
2796,2448,3
2797,6567,7
2798,3456,5
2799,3056,4
2800,2248,3
2801,2952,4
2802,3650,4
2803,5763,6
2804,3280,4
2805,2064,3
2806,2588,3
2807,3219,4
2808,3192,4
2809,2780,3
2810,3177,4
2811,4092,5
2812,3040,4
2813,5901,8
2814,5847,8
2815,2616,3
2816,5525,3
2817,3000,2
2818,2402,3
2819,3690,5
2820,3667,5
2821,3099,4
2822,4690,6
2823,9180,9
2824,4896,5
2825,2976,4
2826,3171,4
2827,4218,7
2828,5986,7
2829,4224,4
2830,5060,6
2831,3624,4
2832,5528,5
2833,4750,5
2834,4563,6
2835,4842,5
2836,3976,6
2837,4164,5
2838,3300,5
2839,3779,6
2840,4275,5
2841,4340,6
2842,4509,6
2843,3451,5
2844,3559,5
2845,2592,4
2846,4350,6
2847,4350,6
2848,4064,3
2849,4690,7
2850,5518,6
2851,5163,7
2852,4932,6
2853,4920,7
2854,2544,2
2855,4170,5
2856,4325,6
2857,4006,6
2858,4008,5
2859,3548,5
2860,3000,6
2861,3528,3
2862,4244,6
2863,2742,3
2864,5778,6
2865,2691,3
2866,4388,5
2867,2496,4
2868,3508,5
2869,4431,6
2870,3918,5
2871,3242,4
2872,1494,2
2873,3162,4
2874,4160,5
2875,3460,4
2876,3582,4
2877,3775,4
2878,4090,6
2879,3922,5
2880,3400,5
2881,3917,5
2882,4335,4
2883,4364,6
2884,3855,5
2885,4299,5
2886,5798,6
2887,2928,3
2888,3431,4
2889,1776,3
2890,1923,3
2891,4243,6
2892,1458,3
2893,3452,6
2894,2088,3
2895,5129,4
2896,4886,4
2897,4875,5
2898,4992,6
2899,4473,5
2900,3548,5
2901,4932,3
2902,4187,4
2903,5648,5
2904,5514,5
2905,3200,5
2906,4024,4
2907,2872,5
2908,2612,4
2909,4956,6
2910,1890,2
2911,2730,5
2912,3824,4
2913,2730,5
2914,2730,5
2915,2730,5
2916,2730,5
2917,3672,5
2918,2852,4
2919,4996,6
